average_heartrate,average_temp,average_watts,date,device_watts,distance,elapsed_time,elevation_gain,kudos,moving_time,workout_type
113.6,23,124.4,2018-11-01 06:44:45+00:00,True,32.3,105,513.00 m,9,91,Ride
130.9,24,147.9,2018-11-02 19:16:05+00:00,True,59.0,198,674.00 m,20,139,Ride
118.9,16,135.8,2018-11-03 19:45:22+00:00,True,19.7,48,251.00 m,6,47,Ride
151.2,18,198.9,2018-11-03 20:46:32+00:00,True,32.3,54,435.00 m,16,54,Race
112.7,24,121.5,2018-11-03 22:32:46+00:00,True,24.0,68,330.00 m,5,65,Ride
110.8,,178.3,2018-11-05 20:02:20+00:00,True,11.8,27,0.00 m,3,27,Ride
103.3,,110.8,2018-11-06 06:59:59+00:00,False,20.7,74,301.80 m,19,69,Ride
106.9,15,122.7,2018-11-07 21:26:51+00:00,True,9.2,32,202.00 m,5,30,Ride
128.3,13,174.3,2018-11-08 06:39:34+00:00,True,46.6,146,923.00 m,11,127,Ride
104.8,14,155.4,2018-11-09 19:18:08+00:00,True,59.2,194,638.00 m,19,142,Ride
118.2,16,153.4,2018-11-10 19:03:13+00:00,True,79.1,254,1005.00 m,16,193,Ride
120.3,,205.9,2018-11-12 19:11:47+00:00,True,26.4,60,0.00 m,5,60,Workout
114.1,,204.0,2018-11-14 19:27:58+00:00,True,31.7,75,0.00 m,6,75,Workout
114.9,14,150.8,2018-11-16 19:11:00+00:00,True,63.7,213,575.00 m,19,158,Ride
129.3,,174.4,2018-11-19 19:32:25+00:00,True,14.0,30,0.00 m,5,30,Workout
133.9,,174.1,2018-11-21 19:41:24+00:00,True,20.2,45,0.00 m,9,45,Workout
,16,147.0,2018-11-23 19:19:24+00:00,True,61.7,207,672.00 m,14,150,Ride
112.8,15,130.6,2018-11-24 20:06:06+00:00,True,14.9,37,24.00 m,8,37,Ride
150.5,16,196.9,2018-11-24 20:53:26+00:00,True,31.4,49,85.00 m,15,49,Race
117.5,,167.4,2018-11-27 20:21:44+00:00,True,25.5,60,0.00 m,7,60,Workout
121.5,19,158.3,2018-11-30 19:15:31+00:00,True,59.6,191,695.00 m,16,142,Ride
119.2,14,148.8,2018-12-01 20:11:26+00:00,True,11.9,30,163.00 m,5,29,Ride
147.9,16,203.6,2018-12-01 20:47:11+00:00,True,32.2,53,422.00 m,19,53,Race
122.3,18,167.2,2018-12-07 19:13:58+00:00,False,62.0,189,594.00 m,17,142,Ride
120.1,16,151.2,2018-12-08 19:44:09+00:00,True,6.6,14,73.00 m,3,14,Ride
147.4,18,192.1,2018-12-08 20:01:56+00:00,True,38.6,63,441.00 m,17,63,Race
120.1,,189.9,2018-12-10 19:35:21+00:00,True,11.4,28,0.00 m,3,28,Workout
131.9,,176.9,2018-12-12 19:20:20+00:00,True,25.7,61,0.00 m,7,61,Workout
119.1,21,140.6,2018-12-14 19:20:22+00:00,True,63.4,210,589.00 m,14,157,Ride
125.7,21,163.4,2018-12-15 19:42:51+00:00,True,65.5,179,1226.00 m,14,169,Ride
117.0,,226.4,2018-12-17 19:17:30+00:00,True,26.0,60,0.00 m,7,60,Ride
112.4,20,151.5,2018-12-25 19:38:06+00:00,True,69.2,191,949.00 m,14,186,Ride
130.6,21,171.9,2018-12-28 19:24:18+00:00,True,60.8,208,573.00 m,17,137,Ride
113.7,21,138.4,2018-12-30 19:20:29+00:00,True,52.2,139,548.00 m,14,130,Ride
110.9,21,131.9,2019-01-01 19:02:50+00:00,True,72.6,242,680.00 m,11,189,Ride
118.6,23,126.0,2019-01-03 05:59:11+00:00,True,33.1,101,332.00 m,14,89,Ride
121.4,25,139.7,2019-01-04 19:08:10+00:00,True,68.0,224,575.00 m,15,166,Ride
112.0,,137.9,2019-01-06 21:30:25+00:00,False,18.5,338,344.40 m,8,60,Ride
117.8,18,152.9,2019-01-08 19:56:34+00:00,True,8.2,83,186.00 m,9,23,Ride
124.9,,103.7,2019-01-08 20:24:02+00:00,True,9.7,27,186.60 m,8,27,Ride
124.8,20,159.5,2019-01-11 19:19:06+00:00,True,59.5,189,595.00 m,14,139,Ride
122.3,20,206.5,2019-01-12 20:32:14+00:00,True,8.9,26,26.00 m,4,20,Ride
150.7,21,247.1,2019-01-12 21:04:16+00:00,True,36.6,60,130.00 m,15,60,Race
117.4,28,139.9,2019-01-13 21:26:17+00:00,False,24.6,205,524.00 m,10,105,Ride
128.2,23,156.9,2019-01-15 20:11:01+00:00,True,57.7,173,1030.00 m,17,156,Ride
,24,132.4,2019-01-16 21:41:01+00:00,True,9.3,29,193.00 m,6,28,Ride
,31,119.0,2019-01-17 05:39:44+00:00,True,10.8,43,105.00 m,9,35,Ride
134.8,,,2019-01-19 01:00:25+00:00,False,0.0,43,0.00 m,8,43,Ride
113.8,,,2019-01-21 01:54:18+00:00,False,0.0,19,0.00 m,7,19,Workout
90.7,,,2019-01-22 02:21:03+00:00,,2.7,26,0.00 m,2,26,Ride
111.5,,,2019-01-23 02:20:45+00:00,False,0.0,20,0.00 m,6,20,Workout
93.7,,,2019-01-24 01:35:25+00:00,,3.0,29,0.00 m,2,29,Ride
128.6,,,2019-01-25 01:30:36+00:00,False,0.0,45,0.00 m,7,45,Ride
130.4,,,2019-01-28 02:16:10+00:00,False,0.0,45,0.00 m,7,45,Ride
123.9,,,2019-02-02 01:36:00+00:00,False,0.0,30,0.00 m,7,30,Ride
128.8,,168.3,2019-02-06 19:35:05+00:00,True,23.2,61,0.00 m,6,61,Workout
124.5,20,130.2,2019-02-08 19:17:31+00:00,True,59.8,194,579.00 m,18,139,Ride
128.4,,188.5,2019-02-11 20:00:25+00:00,True,25.2,60,0.00 m,12,60,Workout
137.1,,200.3,2019-02-13 19:53:25+00:00,True,27.4,60,0.00 m,9,60,Workout
129.6,17,161.0,2019-02-15 19:20:22+00:00,True,59.7,179,600.00 m,19,134,Ride
129.7,14,164.2,2019-02-16 18:57:11+00:00,True,20.2,48,233.00 m,6,46,Ride
144.3,15,187.7,2019-02-16 20:02:30+00:00,True,37.0,61,348.00 m,20,61,Race
116.9,23,124.1,2019-02-16 21:56:32+00:00,True,33.9,90,312.00 m,10,89,Ride
127.7,,161.7,2019-02-18 19:50:07+00:00,True,24.6,60,0.00 m,8,60,Workout
123.5,,161.8,2019-02-20 19:49:25+00:00,True,24.3,60,0.00 m,7,60,Workout
123.2,15,149.4,2019-02-22 19:20:11+00:00,True,59.3,195,591.00 m,18,140,Ride
103.5,15,158.2,2019-02-23 20:28:22+00:00,True,4.7,14,59.00 m,4,11,Ride
156.5,16,247.0,2019-02-23 20:46:12+00:00,True,32.1,54,414.00 m,19,54,Race
106.9,,168.2,2019-02-25 19:53:11+00:00,True,25.0,60,0.00 m,10,60,Ride
107.9,23,136.2,2019-02-27 07:15:34+00:00,False,12.5,59,255.00 m,5,54,Ride
110.8,,171.0,2019-02-27 19:53:50+00:00,True,26.0,60,0.00 m,3,60,Ride
121.4,19,145.1,2019-03-01 19:13:58+00:00,True,59.7,205,585.00 m,15,142,Ride
121.0,17,205.1,2019-03-02 19:03:05+00:00,True,76.8,227,1474.00 m,20,201,Ride
120.4,,176.3,2019-03-09 01:22:56+00:00,True,21.4,45,0.00 m,9,45,Ride
100.0,15,112.7,2019-03-09 19:48:04+00:00,True,4.8,13,52.00 m,3,13,Ride
138.9,16,180.0,2019-03-09 20:03:00+00:00,True,38.8,63,437.00 m,22,63,Race
125.1,,171.5,2019-03-11 19:59:26+00:00,True,22.6,50,0.00 m,9,50,Workout
118.9,,168.2,2019-03-13 19:38:28+00:00,True,20.5,46,0.00 m,7,46,Workout
139.1,14,202.6,2019-03-16 22:09:55+00:00,True,105.8,204,1255.00 m,22,204,Ride
119.6,15,148.6,2019-03-22 19:08:18+00:00,False,63.9,197,628.00 m,22,150,Ride
124.2,10,151.2,2019-03-26 19:37:38+00:00,True,22.5,66,520.00 m,12,66,Ride
141.9,,213.8,2019-03-29 20:01:10+00:00,True,39.8,74,0.00 m,9,74,Workout
120.2,8,156.1,2019-03-30 19:41:28+00:00,True,19.8,52,235.00 m,5,50,Ride
145.1,8,235.4,2019-03-30 20:47:49+00:00,True,31.7,55,425.00 m,17,55,Race
110.1,16,133.9,2019-03-30 22:43:30+00:00,True,23.9,70,324.00 m,7,62,Ride
117.4,14,163.7,2019-04-05 19:19:16+00:00,True,59.4,187,591.00 m,18,139,Ride
,,,2019-04-06 23:28:18+00:00,,9.2,224,206.30 m,8,137,Ride
119.5,,189.2,2019-04-09 21:04:31+00:00,True,11.3,24,0.00 m,4,24,Ride
125.4,,198.8,2019-04-10 20:26:40+00:00,True,29.0,60,0.00 m,5,60,Ride
120.1,13,167.2,2019-04-12 20:16:01+00:00,True,60.2,190,620.00 m,14,141,Ride
116.8,13,143.9,2019-04-13 20:44:16+00:00,True,19.8,52,226.00 m,6,51,Ride
156.1,14,255.8,2019-04-13 21:45:01+00:00,True,31.8,53,419.00 m,20,53,Race
107.3,21,110.6,2019-04-13 23:27:29+00:00,True,32.9,101,327.00 m,10,92,Ride
124.6,,193.6,2019-04-15 20:33:24+00:00,True,36.3,75,0.00 m,9,75,Workout
108.8,12,140.4,2019-04-17 21:11:29+00:00,True,5.3,19,122.00 m,4,16,Ride
123.7,16,175.0,2019-04-18 21:28:13+00:00,True,61.3,151,624.00 m,14,146,Ride
113.3,14,164.0,2019-04-19 20:14:40+00:00,True,59.6,196,572.00 m,19,140,Ride
115.8,13,169.3,2019-04-20 20:03:08+00:00,True,20.3,51,228.00 m,8,49,Ride
128.1,14,202.7,2019-04-20 21:03:17+00:00,True,7.1,20,88.00 m,9,13,Race
97.1,18,131.8,2019-04-20 22:48:20+00:00,True,34.0,93,307.00 m,10,90,Ride
,,,2019-04-22 01:29:14+00:00,,12.4,260,199.80 m,14,180,Ride
99.7,23,113.4,2019-04-25 22:02:10+00:00,False,27.5,177,402.00 m,12,128,Ride
110.3,13,157.9,2019-04-26 20:43:03+00:00,True,48.9,166,568.00 m,22,119,Ride
,5,111.0,2019-04-27 20:49:32+00:00,True,3.7,13,41.00 m,5,10,Ride
,6,223.0,2019-04-27 21:04:04+00:00,True,33.9,56,347.00 m,24,56,Race
124.0,,197.3,2019-04-29 20:46:20+00:00,True,36.5,75,0.00 m,9,75,Workout
,,133.5,2019-05-01 07:24:27+00:00,False,18.1,53,191.60 m,8,50,Ride
132.2,,201.3,2019-05-01 20:42:13+00:00,True,35.7,75,0.00 m,9,75,Workout
113.8,14,159.3,2019-05-03 20:19:49+00:00,True,62.8,195,582.00 m,21,151,Ride
129.1,,189.6,2019-05-06 20:59:50+00:00,True,32.6,75,0.00 m,9,75,Workout
125.5,6,187.6,2019-05-08 20:40:15+00:00,True,43.4,98,259.00 m,13,94,Ride
124.6,9,175.4,2019-05-10 20:19:22+00:00,True,59.6,178,626.00 m,18,138,Ride
120.9,5,156.1,2019-05-11 20:39:19+00:00,True,19.8,52,234.00 m,7,49,Ride
144.1,7,239.2,2019-05-11 21:46:02+00:00,True,32.1,56,443.00 m,15,56,Race
104.4,15,129.4,2019-05-11 23:22:24+00:00,True,23.8,69,312.00 m,11,64,Ride
123.7,,179.5,2019-05-13 20:53:41+00:00,True,32.6,75,0.00 m,11,75,Ride
112.5,11,155.4,2019-05-17 20:24:11+00:00,True,68.5,232,717.00 m,15,170,Ride
,,119.9,2019-05-19 22:07:11+00:00,False,25.4,90,286.50 m,11,77,Ride
136.1,,216.0,2019-05-20 20:47:40+00:00,True,30.7,61,0.00 m,8,61,Ride
123.4,11,177.4,2019-05-22 20:49:38+00:00,True,33.4,83,281.00 m,9,77,Ride
120.6,9,172.0,2019-05-24 20:19:18+00:00,True,59.6,209,629.00 m,18,135,Ride
96.8,10,135.2,2019-05-25 21:31:51+00:00,True,10.4,27,20.00 m,3,25,Ride
131.7,10,219.5,2019-05-25 22:05:48+00:00,True,10.0,17,26.00 m,15,17,Race
113.3,,174.6,2019-05-27 20:50:01+00:00,True,11.6,30,0.00 m,3,30,Ride
,7,171.7,2019-05-31 20:26:19+00:00,True,56.5,163,615.00 m,15,128,Ride
126.9,8,186.9,2019-06-01 22:11:34+00:00,True,12.0,26,156.00 m,7,26,Ride
152.8,10,257.7,2019-06-01 22:54:55+00:00,True,24.3,44,285.00 m,12,44,Race
120.9,8,160.7,2019-06-07 20:22:42+00:00,True,58.4,186,651.00 m,20,136,Ride
130.1,11,124.6,2019-06-09 22:26:02+00:00,True,4.5,19,49.00 m,2,12,Ride
142.6,11,203.7,2019-06-09 22:46:40+00:00,True,38.4,66,379.00 m,10,66,Race
,5,166.0,2019-06-14 20:23:03+00:00,True,58.1,179,654.00 m,13,135,Ride
120.6,,198.2,2019-06-17 20:46:26+00:00,True,10.2,22,0.00 m,7,22,Ride
140.3,,207.6,2019-06-17 21:10:19+00:00,True,15.8,30,0.00 m,7,30,Ride
,,134.8,2019-06-19 02:05:20+00:00,False,6.1,28,88.90 m,4,25,Ride
117.4,5,165.8,2019-06-21 20:21:59+00:00,True,58.7,184,671.00 m,14,140,Ride
115.3,4,133.9,2019-06-22 21:49:45+00:00,True,11.4,36,79.00 m,2,28,Ride
139.0,5,213.7,2019-06-22 22:33:45+00:00,True,51.6,91,679.00 m,19,91,Race
108.6,12,137.2,2019-06-27 23:05:34+00:00,True,13.9,54,304.00 m,5,44,Ride
,11,136.9,2019-06-28 07:52:10+00:00,True,9.1,32,201.00 m,3,28,Ride
123.7,6,184.3,2019-06-28 22:11:35+00:00,True,28.4,80,289.00 m,8,69,Ride
150.2,11,232.9,2019-06-29 00:01:08+00:00,True,36.3,61,316.00 m,15,61,Race
114.8,17,123.9,2019-06-29 01:58:23+00:00,True,28.9,80,258.00 m,9,78,Ride
111.4,7,158.1,2019-07-05 20:17:50+00:00,True,59.4,192,633.00 m,18,145,Ride
122.0,8,160.7,2019-07-06 21:24:37+00:00,True,7.8,19,112.00 m,3,19,Ride
135.0,7,266.6,2019-07-06 21:45:50+00:00,True,27.8,51,399.00 m,14,51,Race
117.7,9,171.8,2019-07-12 20:18:22+00:00,True,57.1,201,722.00 m,13,142,Ride
,1,126.7,2019-07-13 20:40:12+00:00,True,4.4,15,54.00 m,5,11,Ride
,0,223.9,2019-07-13 21:00:18+00:00,True,23.8,41,301.00 m,13,41,Race
,3,166.8,2019-07-19 20:22:49+00:00,True,58.2,174,666.00 m,16,136,Ride
120.8,7,166.9,2019-07-26 20:12:56+00:00,True,59.6,185,663.00 m,15,139,Ride
122.0,3,168.4,2019-07-27 20:42:59+00:00,True,19.8,49,247.00 m,6,47,Ride
144.4,3,235.2,2019-07-27 21:47:24+00:00,True,29.1,50,415.00 m,15,50,Race
109.6,15,114.7,2019-07-27 23:55:13+00:00,True,20.2,68,280.00 m,6,59,Ride
