Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2018,02,18,30.9,1,Y
IDCJAC0010,066212,2018,02,19,28.7,1,Y
IDCJAC0010,066212,2018,02,20,23.3,1,Y
IDCJAC0010,066212,2018,02,21,25.8,1,Y
IDCJAC0010,066212,2018,02,22,27.6,1,Y
IDCJAC0010,066212,2018,02,23,29.2,1,Y
IDCJAC0010,066212,2018,02,24,35.3,1,Y
IDCJAC0010,066212,2018,02,25,22.3,1,Y
IDCJAC0010,066212,2018,02,26,23.6,1,Y
IDCJAC0010,066212,2018,02,27,25.2,1,Y
IDCJAC0010,066212,2018,02,28,30.4,1,Y
IDCJAC0010,066212,2018,03,01,25.7,1,Y
IDCJAC0010,066212,2018,03,02,26.1,1,Y
IDCJAC0010,066212,2018,03,03,29.4,1,Y
IDCJAC0010,066212,2018,03,04,26.1,1,Y
IDCJAC0010,066212,2018,03,05,24.2,1,Y
IDCJAC0010,066212,2018,03,06,24.7,1,Y
IDCJAC0010,066212,2018,03,07,24.5,1,Y
IDCJAC0010,066212,2018,03,08,25.2,1,Y
IDCJAC0010,066212,2018,03,09,25.6,1,Y
IDCJAC0010,066212,2018,03,10,25.8,1,Y
IDCJAC0010,066212,2018,03,11,28.5,1,Y
IDCJAC0010,066212,2018,03,12,28.4,1,Y
IDCJAC0010,066212,2018,03,13,20.9,1,Y
IDCJAC0010,066212,2018,03,14,26.7,1,Y
IDCJAC0010,066212,2018,03,15,34.1,1,Y
IDCJAC0010,066212,2018,03,16,26.0,1,Y
IDCJAC0010,066212,2018,03,17,33.5,1,Y
IDCJAC0010,066212,2018,03,18,38.5,1,Y
IDCJAC0010,066212,2018,03,19,31.6,1,Y
IDCJAC0010,066212,2018,03,20,28.2,1,Y
IDCJAC0010,066212,2018,03,21,21.1,1,Y
IDCJAC0010,066212,2018,03,22,22.6,1,Y
IDCJAC0010,066212,2018,03,23,23.6,1,Y
IDCJAC0010,066212,2018,03,24,28.5,1,Y
IDCJAC0010,066212,2018,03,25,32.4,1,Y
IDCJAC0010,066212,2018,03,26,26.5,1,Y
IDCJAC0010,066212,2018,03,27,24.6,1,Y
IDCJAC0010,066212,2018,03,28,28.1,1,Y
IDCJAC0010,066212,2018,03,29,29.0,1,Y
IDCJAC0010,066212,2018,03,30,32.0,1,Y
IDCJAC0010,066212,2018,03,31,25.4,1,Y
IDCJAC0010,066212,2018,04,01,33.0,1,Y
IDCJAC0010,066212,2018,04,02,34.4,1,Y
IDCJAC0010,066212,2018,04,03,24.7,1,Y
IDCJAC0010,066212,2018,04,04,25.6,1,Y
IDCJAC0010,066212,2018,04,05,29.8,1,Y
IDCJAC0010,066212,2018,04,06,26.7,1,Y
IDCJAC0010,066212,2018,04,07,30.5,1,Y
IDCJAC0010,066212,2018,04,08,27.8,1,Y
IDCJAC0010,066212,2018,04,09,35.8,1,Y
IDCJAC0010,066212,2018,04,10,25.0,1,Y
IDCJAC0010,066212,2018,04,11,31.4,1,Y
IDCJAC0010,066212,2018,04,12,34.9,1,Y
IDCJAC0010,066212,2018,04,13,33.9,1,Y
IDCJAC0010,066212,2018,04,14,31.5,1,Y
IDCJAC0010,066212,2018,04,15,25.4,1,Y
IDCJAC0010,066212,2018,04,16,30.5,1,Y
IDCJAC0010,066212,2018,04,17,23.2,1,Y
IDCJAC0010,066212,2018,04,18,23.2,1,Y
IDCJAC0010,066212,2018,04,19,27.3,1,Y
IDCJAC0010,066212,2018,04,20,25.2,1,Y
IDCJAC0010,066212,2018,04,21,24.9,1,Y
IDCJAC0010,066212,2018,04,22,24.8,1,Y
IDCJAC0010,066212,2018,04,23,25.8,1,Y
IDCJAC0010,066212,2018,04,24,24.9,1,Y
IDCJAC0010,066212,2018,04,25,25.1,1,Y
IDCJAC0010,066212,2018,04,26,24.7,1,Y
IDCJAC0010,066212,2018,04,27,21.0,1,Y
IDCJAC0010,066212,2018,04,28,20.5,1,Y
IDCJAC0010,066212,2018,04,29,21.5,1,Y
IDCJAC0010,066212,2018,04,30,21.1,1,Y
IDCJAC0010,066212,2018,05,01,24.2,1,N
IDCJAC0010,066212,2018,05,02,23.0,1,N
IDCJAC0010,066212,2018,05,03,28.5,1,N
IDCJAC0010,066212,2018,05,04,27.4,1,N
IDCJAC0010,066212,2018,05,05,23.6,1,N
IDCJAC0010,066212,2018,05,06,23.5,1,N
IDCJAC0010,066212,2018,05,07,25.7,1,N
IDCJAC0010,066212,2018,05,08,26.2,1,N
IDCJAC0010,066212,2018,05,09,26.4,1,N
IDCJAC0010,066212,2018,05,10,25.9,1,N
IDCJAC0010,066212,2018,05,11,17.2,1,N
IDCJAC0010,066212,2018,05,12,17.5,1,N
IDCJAC0010,066212,2018,05,13,18.7,1,N
IDCJAC0010,066212,2018,05,14,19.4,1,N
IDCJAC0010,066212,2018,05,15,20.8,1,N
IDCJAC0010,066212,2018,05,16,18.4,1,N
IDCJAC0010,066212,2018,05,17,21.4,1,N
IDCJAC0010,066212,2018,05,18,20.8,1,N
IDCJAC0010,066212,2018,05,19,20.2,1,N
IDCJAC0010,066212,2018,05,20,21.4,1,N
IDCJAC0010,066212,2018,05,21,,,
IDCJAC0010,066212,2018,05,22,24.3,1,N
IDCJAC0010,066212,2018,05,23,22.9,1,N
IDCJAC0010,066212,2018,05,24,20.4,1,N
IDCJAC0010,066212,2018,05,25,19.5,1,N
IDCJAC0010,066212,2018,05,26,21.2,1,N
IDCJAC0010,066212,2018,05,27,22.6,1,N
IDCJAC0010,066212,2018,05,28,21.3,1,N
IDCJAC0010,066212,2018,05,29,25.3,1,N
IDCJAC0010,066212,2018,05,30,18.5,1,N
IDCJAC0010,066212,2018,05,31,17.5,1,N
IDCJAC0010,066212,2018,06,01,16.7,1,Y
IDCJAC0010,066212,2018,06,02,16.9,1,Y
IDCJAC0010,066212,2018,06,03,19.2,1,Y
IDCJAC0010,066212,2018,06,04,19.3,1,Y
IDCJAC0010,066212,2018,06,05,15.4,1,Y
IDCJAC0010,066212,2018,06,06,17.9,1,Y
IDCJAC0010,066212,2018,06,07,20.2,1,Y
IDCJAC0010,066212,2018,06,08,17.4,1,Y
IDCJAC0010,066212,2018,06,09,16.6,1,Y
IDCJAC0010,066212,2018,06,10,17.7,1,Y
IDCJAC0010,066212,2018,06,11,18.6,1,Y
IDCJAC0010,066212,2018,06,12,18.6,1,Y
IDCJAC0010,066212,2018,06,13,19.6,1,Y
IDCJAC0010,066212,2018,06,14,19.6,1,Y
IDCJAC0010,066212,2018,06,15,20.5,1,Y
IDCJAC0010,066212,2018,06,16,18.1,1,Y
IDCJAC0010,066212,2018,06,17,15.6,1,Y
IDCJAC0010,066212,2018,06,18,17.2,1,Y
IDCJAC0010,066212,2018,06,19,14.9,1,Y
IDCJAC0010,066212,2018,06,20,17.8,1,Y
IDCJAC0010,066212,2018,06,21,16.8,1,Y
IDCJAC0010,066212,2018,06,22,19.1,1,Y
IDCJAC0010,066212,2018,06,23,19.5,1,Y
IDCJAC0010,066212,2018,06,24,17.0,1,Y
IDCJAC0010,066212,2018,06,25,17.7,1,Y
IDCJAC0010,066212,2018,06,26,17.9,1,Y
IDCJAC0010,066212,2018,06,27,16.5,1,Y
IDCJAC0010,066212,2018,06,28,19.3,1,Y
IDCJAC0010,066212,2018,06,29,15.7,1,Y
IDCJAC0010,066212,2018,06,30,19.5,1,Y
IDCJAC0010,066212,2018,07,01,18.1,1,Y
IDCJAC0010,066212,2018,07,02,18.0,1,Y
IDCJAC0010,066212,2018,07,03,19.1,1,Y
IDCJAC0010,066212,2018,07,04,20.3,1,Y
IDCJAC0010,066212,2018,07,05,24.7,1,Y
IDCJAC0010,066212,2018,07,06,24.9,1,Y
IDCJAC0010,066212,2018,07,07,17.5,1,Y
IDCJAC0010,066212,2018,07,08,18.0,1,Y
IDCJAC0010,066212,2018,07,09,17.5,1,Y
IDCJAC0010,066212,2018,07,10,17.6,1,Y
IDCJAC0010,066212,2018,07,11,18.3,1,Y
IDCJAC0010,066212,2018,07,12,19.3,1,Y
IDCJAC0010,066212,2018,07,13,17.8,1,Y
IDCJAC0010,066212,2018,07,14,17.3,1,Y
IDCJAC0010,066212,2018,07,15,18.3,1,Y
IDCJAC0010,066212,2018,07,16,18.1,1,Y
IDCJAC0010,066212,2018,07,17,22.4,1,Y
IDCJAC0010,066212,2018,07,18,21.6,1,Y
IDCJAC0010,066212,2018,07,19,21.2,1,Y
IDCJAC0010,066212,2018,07,20,19.8,1,Y
IDCJAC0010,066212,2018,07,21,17.8,1,Y
IDCJAC0010,066212,2018,07,22,17.8,1,Y
IDCJAC0010,066212,2018,07,23,19.7,1,Y
IDCJAC0010,066212,2018,07,24,23.8,1,Y
IDCJAC0010,066212,2018,07,25,22.9,1,Y
IDCJAC0010,066212,2018,07,26,20.2,1,Y
IDCJAC0010,066212,2018,07,27,21.0,1,Y
IDCJAC0010,066212,2018,07,28,22.1,1,Y
IDCJAC0010,066212,2018,07,29,24.7,1,Y
IDCJAC0010,066212,2018,07,30,19.5,1,Y
IDCJAC0010,066212,2018,07,31,21.4,1,Y
IDCJAC0010,066212,2018,08,01,21.0,1,Y
IDCJAC0010,066212,2018,08,02,18.2,1,Y
IDCJAC0010,066212,2018,08,03,23.4,1,Y
IDCJAC0010,066212,2018,08,04,20.4,1,Y
IDCJAC0010,066212,2018,08,05,20.4,1,Y
IDCJAC0010,066212,2018,08,06,19.0,1,Y
IDCJAC0010,066212,2018,08,07,17.2,1,Y
IDCJAC0010,066212,2018,08,08,19.6,1,Y
IDCJAC0010,066212,2018,08,09,20.5,1,Y
IDCJAC0010,066212,2018,08,10,23.4,1,Y
IDCJAC0010,066212,2018,08,11,25.5,1,Y
IDCJAC0010,066212,2018,08,12,16.5,1,Y
IDCJAC0010,066212,2018,08,13,19.7,1,Y
IDCJAC0010,066212,2018,08,14,23.4,1,Y
IDCJAC0010,066212,2018,08,15,25.0,1,Y
IDCJAC0010,066212,2018,08,16,21.4,1,Y
IDCJAC0010,066212,2018,08,17,19.2,1,Y
IDCJAC0010,066212,2018,08,18,22.6,1,Y
IDCJAC0010,066212,2018,08,19,17.4,1,Y
IDCJAC0010,066212,2018,08,20,16.6,1,Y
IDCJAC0010,066212,2018,08,21,17.7,1,Y
IDCJAC0010,066212,2018,08,22,17.4,1,Y
IDCJAC0010,066212,2018,08,23,16.9,1,Y
IDCJAC0010,066212,2018,08,24,17.8,1,Y
IDCJAC0010,066212,2018,08,25,18.6,1,Y
IDCJAC0010,066212,2018,08,26,16.9,1,Y
IDCJAC0010,066212,2018,08,27,14.1,1,Y
IDCJAC0010,066212,2018,08,28,15.9,1,Y
IDCJAC0010,066212,2018,08,29,16.8,1,Y
IDCJAC0010,066212,2018,08,30,18.3,1,Y
IDCJAC0010,066212,2018,08,31,17.6,1,Y
IDCJAC0010,066212,2018,09,01,21.9,1,Y
IDCJAC0010,066212,2018,09,02,15.8,1,Y
IDCJAC0010,066212,2018,09,03,15.1,1,Y
IDCJAC0010,066212,2018,09,04,18.7,1,Y
IDCJAC0010,066212,2018,09,05,17.3,1,Y
IDCJAC0010,066212,2018,09,06,20.9,1,Y
IDCJAC0010,066212,2018,09,07,24.3,1,Y
IDCJAC0010,066212,2018,09,08,15.6,1,Y
IDCJAC0010,066212,2018,09,09,23.4,1,Y
IDCJAC0010,066212,2018,09,10,21.5,1,Y
IDCJAC0010,066212,2018,09,11,23.6,1,Y
IDCJAC0010,066212,2018,09,12,30.8,1,Y
IDCJAC0010,066212,2018,09,13,20.3,1,Y
IDCJAC0010,066212,2018,09,14,26.3,1,Y
IDCJAC0010,066212,2018,09,15,32.0,1,Y
IDCJAC0010,066212,2018,09,16,17.3,1,Y
IDCJAC0010,066212,2018,09,17,18.8,1,Y
IDCJAC0010,066212,2018,09,18,27.1,1,Y
IDCJAC0010,066212,2018,09,19,29.2,1,Y
IDCJAC0010,066212,2018,09,20,16.8,1,Y
IDCJAC0010,066212,2018,09,21,21.3,1,Y
IDCJAC0010,066212,2018,09,22,24.1,1,Y
IDCJAC0010,066212,2018,09,23,21.0,1,Y
IDCJAC0010,066212,2018,09,24,16.6,1,Y
IDCJAC0010,066212,2018,09,25,18.3,1,Y
IDCJAC0010,066212,2018,09,26,16.7,1,Y
IDCJAC0010,066212,2018,09,27,22.2,1,Y
IDCJAC0010,066212,2018,09,28,31.0,1,Y
IDCJAC0010,066212,2018,09,29,21.3,1,Y
IDCJAC0010,066212,2018,09,30,18.8,1,Y
IDCJAC0010,066212,2018,10,01,22.6,1,Y
IDCJAC0010,066212,2018,10,02,24.5,1,Y
IDCJAC0010,066212,2018,10,03,27.2,1,Y
IDCJAC0010,066212,2018,10,04,16.9,1,Y
IDCJAC0010,066212,2018,10,05,16.0,1,Y
IDCJAC0010,066212,2018,10,06,19.1,1,Y
IDCJAC0010,066212,2018,10,07,18.5,1,Y
IDCJAC0010,066212,2018,10,08,21.8,1,Y
IDCJAC0010,066212,2018,10,09,26.3,1,Y
IDCJAC0010,066212,2018,10,10,17.1,1,Y
IDCJAC0010,066212,2018,10,11,17.6,1,Y
IDCJAC0010,066212,2018,10,12,16.1,1,Y
IDCJAC0010,066212,2018,10,13,20.7,1,Y
IDCJAC0010,066212,2018,10,14,21.5,1,Y
IDCJAC0010,066212,2018,10,15,22.0,1,Y
IDCJAC0010,066212,2018,10,16,24.4,1,Y
IDCJAC0010,066212,2018,10,17,25.1,1,Y
IDCJAC0010,066212,2018,10,18,25.8,1,Y
IDCJAC0010,066212,2018,10,19,28.6,1,Y
IDCJAC0010,066212,2018,10,20,31.5,1,Y
IDCJAC0010,066212,2018,10,21,20.0,1,Y
IDCJAC0010,066212,2018,10,22,23.3,1,Y
IDCJAC0010,066212,2018,10,23,29.4,1,Y
IDCJAC0010,066212,2018,10,24,19.2,1,Y
IDCJAC0010,066212,2018,10,25,23.2,1,Y
IDCJAC0010,066212,2018,10,26,21.9,1,Y
IDCJAC0010,066212,2018,10,27,25.5,1,Y
IDCJAC0010,066212,2018,10,28,19.0,1,Y
IDCJAC0010,066212,2018,10,29,22.0,1,Y
IDCJAC0010,066212,2018,10,30,27.9,1,Y
IDCJAC0010,066212,2018,10,31,27.9,1,Y
IDCJAC0010,066212,2018,11,01,30.5,1,Y
IDCJAC0010,066212,2018,11,02,37.0,1,Y
IDCJAC0010,066212,2018,11,03,34.5,1,Y
IDCJAC0010,066212,2018,11,04,26.1,1,Y
IDCJAC0010,066212,2018,11,05,28.3,1,Y
IDCJAC0010,066212,2018,11,06,31.9,1,Y
IDCJAC0010,066212,2018,11,07,23.7,1,Y
IDCJAC0010,066212,2018,11,08,19.7,1,Y
IDCJAC0010,066212,2018,11,09,22.2,1,Y
IDCJAC0010,066212,2018,11,10,23.1,1,Y
IDCJAC0010,066212,2018,11,11,24.4,1,Y
IDCJAC0010,066212,2018,11,12,24.6,1,Y
IDCJAC0010,066212,2018,11,13,26.6,1,Y
IDCJAC0010,066212,2018,11,14,23.5,1,Y
IDCJAC0010,066212,2018,11,15,24.1,1,Y
IDCJAC0010,066212,2018,11,16,21.6,1,Y
IDCJAC0010,066212,2018,11,17,22.9,1,Y
IDCJAC0010,066212,2018,11,18,22.9,1,Y
IDCJAC0010,066212,2018,11,19,23.6,1,Y
IDCJAC0010,066212,2018,11,20,26.8,1,Y
IDCJAC0010,066212,2018,11,21,28.1,1,Y
IDCJAC0010,066212,2018,11,22,25.2,1,Y
IDCJAC0010,066212,2018,11,23,24.2,1,Y
IDCJAC0010,066212,2018,11,24,26.6,1,Y
IDCJAC0010,066212,2018,11,25,25.8,1,Y
IDCJAC0010,066212,2018,11,26,24.2,1,Y
IDCJAC0010,066212,2018,11,27,26.7,1,Y
IDCJAC0010,066212,2018,11,28,19.7,1,Y
IDCJAC0010,066212,2018,11,29,22.3,1,Y
IDCJAC0010,066212,2018,11,30,25.6,1,Y
IDCJAC0010,066212,2018,12,01,28.3,1,Y
IDCJAC0010,066212,2018,12,02,34.1,1,Y
IDCJAC0010,066212,2018,12,03,31.6,1,Y
IDCJAC0010,066212,2018,12,04,23.8,1,Y
IDCJAC0010,066212,2018,12,05,22.4,1,Y
IDCJAC0010,066212,2018,12,06,25.8,1,Y
IDCJAC0010,066212,2018,12,07,27.1,1,Y
IDCJAC0010,066212,2018,12,08,28.9,1,Y
IDCJAC0010,066212,2018,12,09,29.4,1,Y
IDCJAC0010,066212,2018,12,10,27.7,1,Y
IDCJAC0010,066212,2018,12,11,23.4,1,Y
IDCJAC0010,066212,2018,12,12,24.3,1,Y
IDCJAC0010,066212,2018,12,13,29.8,1,Y
IDCJAC0010,066212,2018,12,14,25.5,1,Y
IDCJAC0010,066212,2018,12,15,29.4,1,Y
IDCJAC0010,066212,2018,12,16,31.8,1,Y
IDCJAC0010,066212,2018,12,17,31.0,1,Y
IDCJAC0010,066212,2018,12,18,27.3,1,Y
IDCJAC0010,066212,2018,12,19,24.4,1,Y
IDCJAC0010,066212,2018,12,20,31.1,1,Y
IDCJAC0010,066212,2018,12,21,23.2,1,Y
IDCJAC0010,066212,2018,12,22,21.8,1,Y
IDCJAC0010,066212,2018,12,23,23.4,1,Y
IDCJAC0010,066212,2018,12,24,26.7,1,Y
IDCJAC0010,066212,2018,12,25,31.5,1,Y
IDCJAC0010,066212,2018,12,26,32.4,1,Y
IDCJAC0010,066212,2018,12,27,33.8,1,Y
IDCJAC0010,066212,2018,12,28,35.3,1,Y
IDCJAC0010,066212,2018,12,29,35.9,1,Y
IDCJAC0010,066212,2018,12,30,36.4,1,Y
IDCJAC0010,066212,2018,12,31,33.8,1,Y
